videoId,title,step,time_start,time_end,brand,product,product_type,category,shade,tool,confidence,match_score,product_score,flow_mode,sequence_index
Ee4Gi47erJ8,Full Face Talk Thru Makeup Tutorial,setting powder,1384.64,1534.07,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,beauty blender,0,100,70,eyes-first,4
Geeqrolx0bA,The Bridal Makeup Tutorial,bronzer/contour,0.82,136.43,Charlotte Tilbury,Powder & Sculpt Brush,Contour Brush,Tools,,,0,100,47,base-first,1
Geeqrolx0bA,The Bridal Makeup Tutorial,foundation,479.15,587.47,Giorgio Armani,Luminous Silk Foundation,Foundation,Skin,,sponge,0,100,100,base-first,2
Geeqrolx0bA,The Bridal Makeup Tutorial,concealer,587.47,703.75,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,,0,100,100,base-first,3
Geeqrolx0bA,The Bridal Makeup Tutorial,setting powder,1049.51,1170.46,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,powder puff,0,100,100,base-first,4
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,foundation,299.71,470.57,Giorgio Armani,Luminous Silk Foundation,Foundation,Skin,,beauty blender,0,100,100,base-first,1
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,eyeshadow,470.57,621.9,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,powder puff,0,100,45,base-first,2
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,setting powder,470.57,621.9,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,powder puff,0,100,100,base-first,3
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,eyeshadow,621.9,779.79,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,0,100,100,base-first,4
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,eyeshadow,621.9,779.79,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,0,100,44,base-first,5
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,primer,108.06,201.1,Charlotte Tilbury,Hollywood Flawless Filter,Primer,Skin,,,0,100,100,base-first,1
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,foundation,201.1,304.59,Hourglass,Vanish Seamless Finish Foundation Stick,Foundation Stick,Skin,,,0,100,40,base-first,2
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,foundation,201.1,304.59,Hourglass,Vanish Seamless Finish Foundation Brush,Foundation Brush,Tools,,,0,100,46,base-first,3
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,eyeliner,1141.89,1254.52,Rare Beauty,Perfect Strokes Matte Liquid Liner,Eyeliner,Eyes,,angled brush,0,100,100,base-first,4
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,bronzer/contour,1470.46,1557.73,Charlotte Tilbury,Powder & Sculpt Brush,Contour Brush,Tools,,,0,100,48,base-first,5
Kc9Cl34sP3g,GIRLY GLAM MAKEUP TUTORIAL💕,mascara,1470.46,1557.73,Charlotte Tilbury,Pillow Talk Push Up Lashes Mascara,Mascara,Eyes,,,0,100,66,base-first,6
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,foundation,119.2,213.31,Hourglass,Vanish Seamless Finish Foundation Stick,Foundation Stick,Skin,,e54,0,100,45,base-first,1
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,eyeshadow,322.08,425.2,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,beauty blender,0,100,60,base-first,2
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,eyeshadow,524.74,633.36,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,0,100,51,base-first,3
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,eyeshadow,524.74,633.36,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,0,100,100,base-first,4
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,eyeshadow,1061.97,1200.58,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,0,100,60,base-first,5
OtMWweAoJ6E,Easy Glam Holiday Makeup - Talk Through Tutorial,brows,1321.22,1428.54,Anastasia Beverly Hills,Brow Brush #12,Brow Brush,Tools,,,0,100,35,base-first,6
RfqMkTsUhAY,Full Face Using Only E.L.F. Makeup... I'm Speechless!,eyeshadow,969.39,1068.91,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,blending brush,0,100,100,eyes-first,1
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,eyeshadow,100.2,152.7,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,38,eyes-first,1
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,concealer,149.7,202.73,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,,0,100,72,eyes-first,2
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,eyeshadow,149.7,202.73,Tarte,Tartelette In Bloom Clay Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,47,eyes-first,3
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,foundation,149.7,202.73,Too Faced,Born This Way Foundation,Foundation,Skin,,,0,100,54,eyes-first,4
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,mascara,149.7,202.73,Too Faced,Better Than Sex Mascara,Mascara,Eyes,,,0,100,54,eyes-first,5
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,eyeshadow,202.73,253.45,Tarte,Tartelette In Bloom Clay Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,40,eyes-first,6
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,eyeshadow,299.45,356.83,Tarte,Tartelette In Bloom Clay Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,46,eyes-first,7
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",foundation,113.26,182.88,Hourglass,Vanish Seamless Finish Foundation Brush,Foundation Brush,Tools,,,0,100,43,base-first,1
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",primer,113.26,182.88,Smashbox,Photo Finish Foundation Primer,Primer,Skin,,,0,100,100,base-first,2
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",eyeshadow,599.87,651.79,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,36,base-first,3
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",concealer,713.62,764.74,Tarte,Shape Tape Concealer,Concealer,Skin,,,0,100,100,base-first,4
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",eyeshadow,1140.37,1245.54,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,0,100,100,base-first,5
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",eyeshadow,1245.54,1348.74,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,blending brush,0,100,100,base-first,6
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",eyeshadow,1245.54,1348.74,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,blending brush,0,100,100,base-first,7
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",eyeshadow,1348.74,1446.02,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,0,100,100,base-first,8
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",eyeshadow,1348.74,1446.02,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,0,100,45,base-first,9
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",mascara,1554.35,1668.8,Dior,Diorshow Iconic Overcurl Mascara,Mascara,Eyes,,,0,100,100,base-first,10
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,foundation,236.11,397.38,Dior,Forever Skin Glow Foundation,Foundation,Skin,,,0,100,47,base-first,1
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,brows,1019.79,1134.31,Anastasia Beverly Hills,Brow Brush #12,Brow Brush,Tools,,,0,100,37,base-first,2
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,eyeshadow,1270.36,1382.81,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,0,100,100,base-first,3
ZAxhEUfpSss,Trying TJ MAXX Makeup For The First Time,bronzer/contour,1382.81,1494.66,Charlotte Tilbury,Powder & Sculpt Brush,Contour Brush,Tools,,blending brush,0,100,60,base-first,4
aZgsVALlCrk,ONE DIP MAKEUP CHALLENGE!,foundation,144.24,267.63,Fenty Beauty,Pro Filt’r Soft Matte Foundation,Foundation,Skin,,sponge,0,100,100,base-first,1
aZgsVALlCrk,ONE DIP MAKEUP CHALLENGE!,eyeshadow,389.78,514.32,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,sponge,0,100,48,base-first,2
gj98OYuu6-M,HOODED EYES MAKEUP TUTORIAL |  Eyeshadow Tips for Downturned Eyes | Dominique Sachse,mascara,207.76,264.44,NARS,Climax Mascara,Mascara,Eyes,,,0,100,47,eyes-first,1
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,brows,137.99,266.57,Anastasia Beverly Hills,Brow Brush #12,Brow Brush,Tools,,beauty blender,0,100,66,eyes-first,1
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,foundation,266.61,413.61,Huda Beauty,GloWish Multidew Skin Tint,Skin Tint,Skin,,spoolie,0,100,46,eyes-first,2
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,concealer,413.61,553.21,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,beauty blender,0,100,100,eyes-first,3
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,eyeshadow,413.61,553.21,Anastasia Beverly Hills,Soft Glam Eyeshadow Palette,Eyeshadow,Eyes,,beauty blender,0,27,100,eyes-first,4
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,setting powder,685.34,847.97,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,sponge,0,100,78,eyes-first,5
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,mascara,1119.42,1257.93,NARS,Climax Mascara,Mascara,Eyes,,,0,100,100,eyes-first,6
zY7FHOAjk_o,easy soft glam makeup,eyeshadow,313.05,417.22,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,kabuki,0,100,36,base-first,1
zY7FHOAjk_o,easy soft glam makeup,foundation,313.05,417.22,Giorgio Armani,Luminous Silk Foundation,Foundation,Skin,,kabuki,0,100,100,base-first,2
zY7FHOAjk_o,easy soft glam makeup,foundation,313.05,417.22,NARS,Natural Radiant Longwear Foundation,Foundation,Skin,,kabuki,0,100,100,base-first,3
zY7FHOAjk_o,easy soft glam makeup,eyeshadow,1073.48,1172.56,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,beauty blender,0,100,41,base-first,4
zY7FHOAjk_o,easy soft glam makeup,eyeshadow,1172.56,1287.92,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,spoolie,0,100,41,base-first,5
zY7FHOAjk_o,easy soft glam makeup,bronzer/contour,1400.07,1509.7,Charlotte Tilbury,Powder & Sculpt Brush,Contour Brush,Tools,,beauty blender,0,100,45,base-first,6
zY7FHOAjk_o,easy soft glam makeup,mascara,1400.07,1509.7,Charlotte Tilbury,Pillow Talk Push Up Lashes Mascara,Mascara,Eyes,,beauty blender,0,100,100,base-first,7
zY7FHOAjk_o,easy soft glam makeup,primer,1400.07,1509.7,Charlotte Tilbury,Hollywood Flawless Filter,Primer,Skin,,beauty blender,0,100,66,base-first,8
